resistance_thumb,bend_thumb,resistance_index,bend_index,resistance_mid,bend_mid,resistance_ring,bend_ring,x,y,z,stage
16549.5,39,14347.83,26,9900,0,9599.12,-2,62,34,-159,3
16549.5,39,12654.23,15,10219.69,1,9047.5,-5,64,36,-158,3
15015,30,12654.23,15,10560,3,8794.05,-7,65,36,-160,3
14347.83,26,11726.79,10,9900,0,8794.05,-7,66,34,-161,3
13173.6,19,11311.04,7,9900,0,8326.15,-10,64,36,-158,3
13736.25,22,11311.04,7,9900,0,7707.86,-13,65,35,-159,3
12173.33,13,10923,5,9900,0,7707.86,-13,64,35,-159,3
12654.23,15,10560,3,9900,0,7520.93,-14,63,34,-157,3
12173.33,13,9900,0,9900,0,7342.5,-15,67,36,-159,3
12173.33,13,10219.69,1,9599.12,-2,6852.77,-18,65,35,-159,3
12173.33,13,10219.69,1,9599.12,-2,6852.77,-18,66,36,-157,3
11726.79,10,10560,3,11311.04,7,10923,5,63,36,-160,3
12173.33,13,10560,3,10923,5,10560,3,64,36,-159,3
11726.79,10,10219.69,1,10923,5,10560,3,63,35,-160,3
11311.04,7,10560,3,10923,5,10560,3,63,34,-158,3
12173.33,13,10560,3,10560,3,10923,5,65,36,-161,3
11726.79,10,10923,5,10923,5,10923,5,65,36,-159,3
12173.33,13,11726.79,10,11726.79,10,12173.33,13,64,33,-159,3
13173.6,19,13173.6,19,13173.6,19,12654.23,15,65,34,-159,3
14347.83,26,15015,30,13736.25,22,15015,30,62,36,-161,3
15745.71,34,15745.71,34,15015,30,18425,50,63,35,-159,3
15745.71,34,17437.89,44,15745.71,34,19528.23,57,62,34,-158,3
16549.5,39,20769.38,64,15745.71,34,20769.38,64,66,35,-158,3
18425,50,23783.57,82,15015,30,22176,73,65,36,-159,3
18425,50,25638.46,93,17437.89,44,22176,73,65,35,-159,3
19528.23,57,25638.46,93,19528.23,57,23783.57,82,65,35,-159,3
19528.23,57,25638.46,93,23783.57,82,23783.57,82,64,34,-158,3
18425,50,25638.46,93,23783.57,82,25638.46,93,64,34,-158,3
19528.23,57,27802.5,106,23783.57,82,23783.57,82,64,35,-160,3
20769.38,64,30360,122,25638.46,93,23783.57,82,64,36,-158,3
20769.38,64,27802.5,106,27802.5,106,23783.57,82,66,36,-158,3
22176,73,30360,122,30360,122,23783.57,82,64,35,-158,3
18425,50,25638.46,93,25638.46,93,23783.57,82,63,35,-157,3
15745.71,34,25638.46,93,27802.5,106,23783.57,82,65,36,-158,3
15745.71,34,25638.46,93,27802.5,106,23783.57,82,65,37,-159,3
13736.25,22,27802.5,106,25638.46,93,22176,73,64,37,-161,3
12654.23,15,27802.5,106,27802.5,106,22176,73,64,35,-159,3
12173.33,13,27802.5,106,27802.5,106,19528.23,57,66,36,-159,3
11726.79,10,23783.57,82,27802.5,106,15745.71,34,64,35,-160,3
11311.04,7,22176,73,25638.46,93,14347.83,26,65,36,-160,3
11311.04,7,19528.23,57,23783.57,82,13173.6,19,64,36,-159,3
11311.04,7,17437.89,44,22176,73,12173.33,13,64,37,-158,3
11311.04,7,15015,30,20769.38,64,11726.79,10,64,33,-159,3
10923,5,13736.25,22,15745.71,34,11311.04,7,66,35,-159,3
10923,5,13173.6,19,12654.23,15,10923,5,65,36,-160,3
10560,3,12173.33,13,11311.04,7,9900,0,63,36,-158,3
10560,3,11311.04,7,10923,5,9900,0,65,35,-160,3
10560,3,10923,5,10219.69,1,9315.43,-4,63,36,-158,3
10219.69,1,10560,3,10219.69,1,9315.43,-4,65,35,-161,3
10560,3,10560,3,10219.69,1,8794.05,-7,64,36,-159,3
10219.69,1,10219.69,1,9900,0,8553.95,-8,64,37,-159,3
9900,0,10219.69,1,9599.12,-2,8794.05,-7,62,35,-160,3
10219.69,1,9900,0,9900,0,8326.15,-10,62,34,-160,3
9900,0,9900,0,9599.12,-2,7008.91,-17,63,36,-159,3
10560,3,9900,0,9900,0,8109.75,-11,63,37,-160,3
10219.69,1,9900,0,9599.12,-2,8109.75,-11,64,36,-157,3
9900,0,9900,0,9599.12,-2,8109.75,-11,64,37,-160,3
10219.69,1,9900,0,9900,0,8109.75,-11,65,38,-159,3
10219.69,1,9900,0,9315.43,-4,7903.9,-12,62,36,-162,3
10219.69,1,9599.12,-2,9599.12,-2,8326.15,-10,64,36,-160,3
9900,0,9900,0,9599.12,-2,8326.15,-10,63,35,-159,3
10219.69,1,9599.12,-2,9599.12,-2,8109.75,-11,63,35,-160,3
12173.33,13,11726.79,10,12173.33,13,5490.52,-27,83,42,-156,3
12173.33,13,12173.33,13,12654.23,15,5490.52,-27,83,44,-154,3
12173.33,13,13173.6,19,12173.33,13,5490.52,-27,83,43,-154,3
12173.33,13,13736.25,22,12173.33,13,5490.52,-27,84,42,-154,3
12654.23,15,15015,30,13173.6,19,5391.86,-27,82,44,-151,3
15015,30,15745.71,34,14347.83,26,5391.86,-27,82,42,-154,3
16549.5,39,17437.89,44,14347.83,26,5296.5,-28,82,44,-154,3
17437.89,44,18425,50,16549.5,39,5592.63,-26,83,41,-154,3
18425,50,20769.38,64,19528.23,57,5592.63,-26,82,41,-154,3
19528.23,57,22176,73,22176,73,6039.62,-23,80,41,-153,3
20769.38,64,22176,73,25638.46,93,6703.13,-19,81,45,-154,3
23783.57,82,23783.57,82,25638.46,93,7172,-16,83,42,-154,3
23783.57,82,25638.46,93,27802.5,106,8553.95,-8,83,43,-156,3
23783.57,82,27802.5,106,27802.5,106,8553.95,-8,80,44,-156,3
25638.46,93,30360,122,33429,140,7172,-16,82,44,-154,3
27802.5,106,30360,122,30360,122,1998.21,-48,82,44,-152,4
30360,122,30360,122,30360,122,1920.6,-48,82,42,-153,4
30360,122,37180,163,33429,140,1998.21,-48,83,41,-153,4
30360,122,33429,140,41868.75,191,2047.39,-47,83,42,-154,4
30360,122,33429,140,37180,163,2208.27,-46,82,41,-155,4
33429,140,41868.75,191,33429,140,2081.36,-47,81,44,-153,4
30360,122,37180,163,41868.75,191,2370.72,-45,82,41,-154,4
25638.46,93,41868.75,191,37180,163,2392.5,-45,81,42,-155,5
27802.5,106,41868.75,191,41868.75,191,2307.42,-46,82,40,-154,5
30360,122,41868.75,191,41868.75,191,27802.5,106,80,41,-153,5
27802.5,106,37180,163,37180,163,27802.5,106,82,38,-153,5
30360,122,37180,163,33429,140,30360,122,81,40,-154,5
25638.46,93,33429,140,30360,122,27802.5,106,80,39,-153,5
27802.5,106,41868.75,191,33429,140,27802.5,106,79,38,-155,5
22176,73,41868.75,191,27802.5,106,27802.5,106,81,40,-152,5
22176,73,33429,140,23783.57,82,27802.5,106,82,38,-156,5
20769.38,64,33429,140,19528.23,57,27802.5,106,82,41,-153,5
18425,50,27802.5,106,15745.71,34,27802.5,106,79,37,-153,5
17437.89,44,25638.46,93,14347.83,26,25638.46,93,82,37,-151,5
16549.5,39,23783.57,82,13173.6,19,25638.46,93,81,38,-153,5
16549.5,39,22176,73,12173.33,13,20769.38,64,81,39,-152,4
16549.5,39,20769.38,64,11311.04,7,17437.89,44,81,37,-150,4
15745.71,34,18425,50,10560,3,13736.25,22,81,38,-152,4
13736.25,22,15015,30,9900,0,11311.04,7,79,38,-153,4
13736.25,22,13736.25,22,9900,0,9315.43,-4,80,38,-153,3
13173.6,19,13173.6,19,9599.12,-2,9315.43,-4,83,36,-152,3
12654.23,15,12173.33,13,9599.12,-2,9315.43,-4,82,39,-153,3
11726.79,10,11726.79,10,9599.12,-2,9315.43,-4,82,37,-156,3
11726.79,10,11311.04,7,9315.43,-4,9047.5,-5,80,37,-153,3
11311.04,7,10923,5,9315.43,-4,9047.5,-5,79,37,-155,3
11311.04,7,10923,5,9315.43,-4,8553.95,-8,81,39,-152,3
10923,5,10923,5,9599.12,-2,8794.05,-7,80,37,-154,3
10923,5,10560,3,9599.12,-2,8794.05,-7,79,40,-154,3
10923,5,10923,5,9315.43,-4,7903.9,-12,82,39,-153,3
10219.69,1,10560,3,9599.12,-2,8326.15,-10,80,39,-154,3
10219.69,1,10560,3,9599.12,-2,8326.15,-10,80,39,-153,3
10560,3,11726.79,10,10923,5,8553.95,-8,78,38,-153,3
10560,3,11311.04,7,11311.04,7,8553.95,-8,78,36,-156,3
10560,3,11311.04,7,10923,5,8109.75,-11,77,37,-154,3
10923,5,11311.04,7,10923,5,4294.52,-34,77,39,-156,3
10560,3,10923,5,10923,5,10219.69,1,78,37,-155,3
10560,3,11311.04,7,10923,5,11311.04,7,77,37,-156,3
11726.79,10,11311.04,7,11311.04,7,13173.6,19,78,38,-157,3
12654.23,15,11726.79,10,10923,5,15015,30,77,37,-154,3
13173.6,19,11726.79,10,11726.79,10,17437.89,44,78,35,-156,3
15015,30,12654.23,15,13173.6,19,18425,50,77,37,-152,3
15015,30,14347.83,26,13173.6,19,22176,73,78,37,-155,3
16549.5,39,14347.83,26,14347.83,26,23783.57,82,79,35,-153,3
16549.5,39,16549.5,39,17437.89,44,25638.46,93,77,35,-155,3
17437.89,44,19528.23,57,18425,50,27802.5,106,78,37,-154,3
20769.38,64,22176,73,22176,73,30360,122,77,39,-153,3
19528.23,57,23783.57,82,25638.46,93,27802.5,106,77,36,-155,4
23783.57,82,23783.57,82,27802.5,106,27802.5,106,76,36,-154,4
23783.57,82,27802.5,106,30360,122,27802.5,106,77,37,-155,4
27802.5,106,27802.5,106,33429,140,27802.5,106,77,38,-154,4
30360,122,27802.5,106,37180,163,30360,122,78,37,-155,4
33429,140,33429,140,37180,163,30360,122,77,38,-156,4
30360,122,33429,140,37180,163,30360,122,78,36,-155,4
30360,122,33429,140,37180,163,27802.5,106,76,37,-154,4
27802.5,106,33429,140,41868.75,191,30360,122,78,39,-156,4
27802.5,106,33429,140,41868.75,191,30360,122,76,37,-154,4
30360,122,37180,163,47897.14,227,27802.5,106,77,39,-152,4
30360,122,41868.75,191,41868.75,191,27802.5,106,76,36,-155,4
30360,122,37180,163,37180,163,27802.5,106,77,37,-154,4
27802.5,106,33429,140,37180,163,25638.46,93,76,37,-153,4
25638.46,93,37180,163,37180,163,27802.5,106,78,37,-156,4
23783.57,82,37180,163,37180,163,30360,122,76,35,-154,4
23783.57,82,33429,140,37180,163,27802.5,106,77,37,-155,4
20769.38,64,33429,140,30360,122,30360,122,79,36,-152,3
19528.23,57,33429,140,30360,122,25638.46,93,78,38,-153,3
20769.38,64,37180,163,27802.5,106,22176,73,76,36,-153,3
17437.89,44,33429,140,23783.57,82,20769.38,64,77,39,-155,3
15015,30,33429,140,19528.23,57,15745.71,34,79,39,-154,3
14347.83,26,33429,140,16549.5,39,13736.25,22,76,38,-155,3
14347.83,26,27802.5,106,14347.83,26,12654.23,15,77,37,-155,3
12173.33,13,30360,122,13173.6,19,12173.33,13,76,36,-155,3
11726.79,10,22176,73,11726.79,10,11726.79,10,76,37,-156,3
11311.04,7,22176,73,10923,5,11311.04,7,78,38,-158,3
10923,5,18425,50,10219.69,1,10923,5,76,37,-156,3
10560,3,16549.5,39,9599.12,-2,10219.69,1,77,38,-155,3
10219.69,1,14347.83,26,9900,0,9599.12,-2,77,38,-156,3
10560,3,14347.83,26,9599.12,-2,8794.05,-7,79,38,-154,3
10219.69,1,13173.6,19,9599.12,-2,8109.75,-11,77,39,-154,3
10219.69,1,12173.33,13,9599.12,-2,8794.05,-7,75,38,-157,3
9900,0,12654.23,15,9315.43,-4,8109.75,-11,78,40,-153,3
10219.69,1,11311.04,7,9599.12,-2,7342.5,-15,77,38,-156,3
9900,0,10923,5,9599.12,-2,8109.75,-11,79,38,-155,3
10560,3,10923,5,9599.12,-2,10219.69,1,66,34,-158,3
10560,3,10923,5,9900,0,10560,3,68,34,-157,3
10219.69,1,10560,3,9900,0,10219.69,1,67,34,-158,3
10219.69,1,10923,5,10219.69,1,10219.69,1,67,34,-158,3
10560,3,10923,5,9599.12,-2,10219.69,1,66,34,-156,3
10219.69,1,10560,3,9900,0,10560,3,67,33,-155,3
10219.69,1,10923,5,9900,0,12173.33,13,66,34,-156,3
10560,3,10923,5,10560,3,12173.33,13,68,32,-157,3
12173.33,13,12654.23,15,11311.04,7,13173.6,19,67,33,-159,3
13173.6,19,13736.25,22,13173.6,19,15745.71,34,66,34,-158,3
13173.6,19,13736.25,22,15015,30,16549.5,39,68,33,-156,3
14347.83,26,15745.71,34,18425,50,18425,50,65,33,-159,3
15015,30,17437.89,44,19528.23,57,22176,73,66,34,-158,3
16549.5,39,18425,50,22176,73,23783.57,82,68,32,-160,3
17437.89,44,20769.38,64,25638.46,93,23783.57,82,69,35,-158,3
18425,50,20769.38,64,25638.46,93,27802.5,106,66,35,-158,4
20769.38,64,25638.46,93,30360,122,30360,122,69,35,-158,4
23783.57,82,25638.46,93,37180,163,30360,122,66,34,-159,4
25638.46,93,27802.5,106,33429,140,33429,140,67,33,-160,4
25638.46,93,25638.46,93,37180,163,27802.5,106,67,33,-159,4
25638.46,93,27802.5,106,37180,163,27802.5,106,67,36,-160,4
27802.5,106,27802.5,106,41868.75,191,30360,122,66,35,-160,4
33429,140,30360,122,37180,163,33429,140,67,33,-158,4
33429,140,33429,140,37180,163,33429,140,68,34,-159,4
33429,140,37180,163,41868.75,191,27802.5,106,68,36,-157,4
33429,140,37180,163,41868.75,191,30360,122,66,33,-158,4
27802.5,106,37180,163,41868.75,191,30360,122,67,35,-159,4
30360,122,37180,163,37180,163,27802.5,106,65,34,-157,4
30360,122,41868.75,191,41868.75,191,30360,122,66,33,-159,4
25638.46,93,41868.75,191,37180,163,30360,122,67,34,-156,4
23783.57,82,37180,163,37180,163,25638.46,93,67,32,-157,4
19528.23,57,37180,163,41868.75,191,27802.5,106,67,33,-158,4
19528.23,57,37180,163,37180,163,27802.5,106,65,33,-156,4
18425,50,41868.75,191,33429,140,30360,122,68,32,-156,4
17437.89,44,33429,140,33429,140,27802.5,106,68,31,-158,3
17437.89,44,33429,140,30360,122,27802.5,106,67,32,-158,3
15745.71,34,33429,140,27802.5,106,23783.57,82,66,33,-155,3
14347.83,26,27802.5,106,20769.38,64,23783.57,82,68,32,-156,3
13736.25,22,25638.46,93,15745.71,34,20769.38,64,67,32,-156,3
13173.6,19,22176,73,12654.23,15,17437.89,44,68,32,-155,3
12654.23,15,22176,73,11726.79,10,15745.71,34,67,34,-156,3
11311.04,7,17437.89,44,10923,5,15015,30,69,33,-159,3
10560,3,14347.83,26,10219.69,1,13173.6,19,67,34,-157,3
10560,3,12173.33,13,10219.69,1,11726.79,10,69,32,-156,3
10219.69,1,11726.79,10,9599.12,-2,12173.33,13,67,34,-156,3
10219.69,1,11311.04,7,9900,0,11311.04,7,66,34,-157,3
10219.69,1,10923,5,9599.12,-2,10560,3,68,33,-155,3
10219.69,1,10219.69,1,10560,3,10560,3,67,34,-158,3
10219.69,1,9900,0,9599.12,-2,9900,0,67,34,-157,3
9900,0,10219.69,1,9599.12,-2,10219.69,1,70,34,-155,3
10560,3,10219.69,1,9315.43,-4,9900,0,68,32,-156,3
